Сегмент;Регион;Бренд;Уровень скидки;Продано шт.;Затраты на ед.;Цена продажи;Валовая выручка;Сумма скидок;Выручка;Себестоимость продаж;Прибыль;Дата;Номер месяца;Название месяца;Год
Госсектор;Москва;Вдохновение;Низкая;4512;289,51;550,75;2484984;124249,2;2360734,8;1255591,02;1105143,78;28.06.2022;6;Июнь;2022
Партнёрский канал;Нижний Новгород;Аленка;Высокая;2035;116,79;201,93;410927,55;90404,06;320523,49;209904,34;110619,15;12.02.2023;2;Февраль;2023
Партнёрский канал;Нижний Новгород;Сударушка;Без скидки;10154;82,49;165,14;1676831,56;0;1676831,56;813360,61;863470,95;23.11.2022;11;Ноябрь;2022
Малый бизнес;Краснодар;Красная Шапочка;Средняя;4027;132,33;212,05;853925,35;102471,04;751454,31;474876,59;276577,72;18.07.2022;7;Июль;2022
Средний бизнес;Краснодар;Победа;Низкая;1211;79,84;139,89;169406,79;8470,34;160936,45;96374,32;64562,13;15.02.2024;2;Февраль;2024
Госсектор;Новосибирск;Вдохновение;Низкая;9959;288,96;405,17;4035088,03;201754,4;3833333,63;2760776,59;1072557,04;16.08.2023;8;Август;2023
Госсектор;Екатеринбург;Аленка;Без скидки;5054;123,85;244,68;1236612,72;0;1236612,72;563042,72;673570;29.12.2023;12;Декабрь;2023
Крупный бизнес;Новосибирск;Вдохновение;Высокая;10480;322,59;564,73;5918370,4;1302041,49;4616328,91;3074371,16;1541957,75;04.08.2024;8;Август;2024
Малый бизнес;Новосибирск;Вдохновение;Средняя;11716;354,62;683,08;8002965,28;960355,83;7042609,45;3684049,4;3358560,05;07.03.2022;3;Март;2022
Средний бизнес;Нижний Новгород;Красная Шапочка;Высокая;3956;123,74;219,69;869093,64;191200,6;677893,04;472945,2;204947,84;12.03.2023;3;Март;2023
Малый бизнес;Нижний Новгород;Вдохновение;Без скидки;2840;353,34;542,37;1540330,8;0;1540330,8;950666,31;589664,49;23.06.2023;6;Июнь;2023
