код_авиалинии,название_авиалинии
2S,Southwind Airlines
3F,FLYONE Armenia
3U,Sichuan Airlines
4B,Boutique Air
5G,Shirak Avia
5N,Smartavia
5P,Nouvelair
6R,АЛРОСА
AH,Air Algérie
AT,Royal Air Maroc
B2,Belavia
C6,Centrum Air
CA,Air China
CZ,China Southern Airlines
D2,Северсталь
DP,Победа
EO,Икар (Pegas Fly)
EY,Etihad Airways
F3,flyadeal
FG,Ariana Afghan Airlines
FV,Россия
GF,Gulf Air
GLX,Gelix Airlines
GS,Tianjin Airlines
HH,Qanot Sharq
HU,Hainan Airlines
IO,ИрАэро
JD,Beijing Capital Airlines
JU,Air Serbia
MU,China Eastern Airlines
N4,Северный Ветер (Nordwind Airlines)
NE,Nesma Airlines
PC,Pegasus Airlines
QR,Qatar Airways
RT,ЮВТ Аэро
SM,Air Cairo
SU,Аэрофлот
SV,Saudia
U6,Уральские авиалинии
UJ,AlMasria Universal Airlines
UT,ЮТэйр
VJ,VietJet Air
VN,Vietnam Airlines
W5,Mahan Air
WY,Oman Air
WZ,Red Wings
XC,Corendon Airlines
Y5,"Golden Myanmar Airlines,"
YC,Ямал
