код_аэропорта,название_аэропорта,город,страна
ABA,Абакан,Абакан,Россия
AUH,Абу-Даби,Абу-Даби,ОАЭ
SCO,Актау,Актау,Казахстан
ALG,Хуари Бумедиене,Алжир,Алжир
ALA,Алматы Интл.,Алматы,Казахстан
NSK,Алыкель,Норильск,Россия
AYT,Анталья,Анталья,Турция
CAN,Байюн Интл.,Гуанчжоу,Китай
CEK,Баландино,Челябинск,Россия
CMB,Бандаранайке Инт.,Коломбо,Шри-Ланка
SZX,Баоань Интл.,Шэньчжэнь,Китай
ULV,Баратаевка,Ульяновск,Россия
BAH,Бахрейн Интл.,Бахрейн,Бахрейн
NBC,Бегишево,Нижнекамск,Россия
OGZ,Беслан,Владикавказ,Россия
PES,Бесовец,Петрозаводск,Россия
TOF,Богашево,Томск,Россия
PEE,Большое Савино,Пермь,Россия
KQT,Бохтар Интл.,Бохтар,Таджикистан
BQT,Брест,Брест,Беларусь
BHK,Бухара Интл.,Бухара,Узбекистан
MLE,Велана Интернэйшнл,Мале,Мальдивы
VKO,Внуково,Москва,Россия
WOS,Вонсан,Вонсан,Северная Корея
GSV,Гагарин,Саратов,Россия
GDZ,Геленджик,Геленджик,Россия
GME,Гомель,Гомель,Беларусь
HKG,Гонконг Интл.,Гонконг,Гонконг
RGK,Горно-Алтайск,Горно-Алтайск,Россия
VOG,Гумрак,Волгоград,Россия
GNJ,Гянджа,Гянджа,Азербайджан
DLM,Даламан,Даламан,Турция
DAD,Дананг Интл.,Дананг,Вьетнам
PKX,Дасин Интл.,Пекин,Китай
URC,Дивопу Интл.,Урумчи,Китай
DME,Домодедово,Москва,Россия
DXB,Дубай Интл.,Дубай,ОАЭ
PKC,Елизово,Петропавловск-Камч.,Россия
ZIA,Жуковский,Жуковский,Россия
EVN,Звартноц Интл.,Ереван,Армения
BQS,Игнатьево,Благовещенск,Россия
IJK,Ижевск,Ижевск,Россия
GYD,Им. Гейдара Алиева,Баку,Азербайджан
IKA,Имам Хомеини Интл.,Тегеран,Иран
DEL,Индира Ганди Инт.,Дели,Индия
IKT,Иркутск,Иркутск,Россия
KBL,Кабул Интл.,Кабул,Афганистан
KZN,Казань,Казань,Россия
CAI,Каир Интл.,Каир,Египет
CXR,Камрань Интл.,Нячанг,Вьетнам
KEJ,Кемерово,Кемерово,Россия
JED,Кинг Абдулазиз Инт.,Джидда,Саудовская Аравия
RUH,Кинг Халид Интернэйшнл,Эр-Рияд,Саудовская Аравия
VVO,Кневичи,Владивосток,Россия
SVX,Кольцово,Екатеринбург,Россия
KSN,Костанай,Костанай,Казахстан
KJA,Красноярск,Красноярск,Россия
KUF,Курумоч,Самара,Россия
PEK,Кэпитал Интл.,Пекин,Китай
IGT,Магас,Магас,Россия
MQF,Магнитогорск,Магнитогорск,Россия
MZR,Мазар-И-Шариф,Мазари-Шариф,Афганистан
FRU,Манас Интл.,Бишкек,Кыргызстан
MCT,Маскат Интл.,Маскат,Оман
BJV,Милас,Бодрум,Турция
